id,prd,prc,bgn,min,max,cnt,cum,code,traded_at,created_at,updated_at
747480,1,1810,1810,1810,1810,0,36758,001020,"2021-10-12 10:52:00","2022-11-10 04:59:54","2022-11-10 04:59:54"
747479,1,1815,1815,1815,1815,7,36765,001020,"2021-10-12 10:53:00","2022-11-10 04:59:54","2022-11-10 04:59:54"
747478,1,1815,1815,1815,1815,0,36765,001020,"2021-10-12 10:54:00","2022-11-10 04:59:54","2022-11-10 04:59:54"
747477,1,1815,1815,1815,1815,0,36765,001020,"2021-10-12 10:55:00","2022-11-10 04:59:54","2022-11-10 04:59:54"
747476,1,1815,1815,1815,1815,0,36765,001020,"2021-10-12 10:56:00","2022-11-10 04:59:54","2022-11-10 04:59:54"
747475,1,1815,1815,1815,1815,0,36765,001020,"2021-10-12 10:57:00","2022-11-10 04:59:54","2022-11-10 04:59:54"
747474,1,1815,1815,1815,1815,0,36765,001020,"2021-10-12 10:58:00","2022-11-10 04:59:54","2022-11-10 04:59:54"
747473,1,1815,1815,1815,1815,1,36766,001020,"2021-10-12 10:59:00","2022-11-10 04:59:54","2022-11-10 04:59:54"
747472,1,1815,1815,1815,1815,0,36766,001020,"2021-10-12 11:00:00","2022-11-10 04:59:54","2022-11-10 04:59:54"
747471,1,1815,1815,1815,1815,0,36766,001020,"2021-10-12 11:01:00","2022-11-10 04:59:54","2022-11-10 04:59:54"
747470,1,1815,1815,1815,1815,0,36766,001020,"2021-10-12 11:02:00","2022-11-10 04:59:54","2022-11-10 04:59:54"
747469,1,1815,1815,1815,1815,0,36766,001020,"2021-10-12 11:03:00","2022-11-10 04:59:54","2022-11-10 04:59:54"
747468,1,1815,1815,1815,1815,0,36766,001020,"2021-10-12 11:04:00","2022-11-10 04:59:54","2022-11-10 04:59:54"
747467,1,1810,1810,1810,1810,1,36767,001020,"2021-10-12 11:05:00","2022-11-10 04:59:54","2022-11-10 04:59:54"
747466,1,1810,1810,1810,1810,29,36796,001020,"2021-10-12 11:06:00","2022-11-10 04:59:54","2022-11-10 04:59:54"
747465,1,1810,1810,1810,1810,0,36796,001020,"2021-10-12 11:07:00","2022-11-10 04:59:54","2022-11-10 04:59:54"
747464,1,1815,1815,1815,1815,1,36797,001020,"2021-10-12 11:08:00","2022-11-10 04:59:54","2022-11-10 04:59:54"
747463,1,1815,1815,1815,1815,0,36797,001020,"2021-10-12 11:09:00","2022-11-10 04:59:54","2022-11-10 04:59:54"
747462,1,1815,1815,1815,1815,18,36815,001020,"2021-10-12 11:10:00","2022-11-10 04:59:54","2022-11-10 04:59:54"
747461,1,1815,1815,1815,1815,0,36815,001020,"2021-10-12 11:11:00","2022-11-10 04:59:54","2022-11-10 04:59:54"
747460,1,1815,1815,1815,1815,0,36815,001020,"2021-10-12 11:12:00","2022-11-10 04:59:54","2022-11-10 04:59:54"
747459,1,1815,1815,1815,1815,0,36815,001020,"2021-10-12 11:13:00","2022-11-10 04:59:54","2022-11-10 04:59:54"
747458,1,1815,1815,1815,1815,0,36815,001020,"2021-10-12 11:14:00","2022-11-10 04:59:54","2022-11-10 04:59:54"
747457,1,1815,1815,1815,1815,0,36815,001020,"2021-10-12 11:15:00","2022-11-10 04:59:54","2022-11-10 04:59:54"
747456,1,1815,1815,1815,1815,0,36815,001020,"2021-10-12 11:16:00","2022-11-10 04:59:54","2022-11-10 04:59:54"
747455,1,1815,1815,1815,1815,0,36815,001020,"2021-10-12 11:17:00","2022-11-10 04:59:54","2022-11-10 04:59:54"
747454,1,1815,1815,1815,1815,0,36815,001020,"2021-10-12 11:18:00","2022-11-10 04:59:54","2022-11-10 04:59:54"
747453,1,1815,1815,1815,1815,0,36815,001020,"2021-10-12 11:19:00","2022-11-10 04:59:54","2022-11-10 04:59:54"
747452,1,1815,1815,1815,1815,0,36815,001020,"2021-10-12 11:20:00","2022-11-10 04:59:54","2022-11-10 04:59:54"
747451,1,1815,1815,1815,1815,0,36815,001020,"2021-10-12 11:21:00","2022-11-10 04:59:54","2022-11-10 04:59:54"
747450,1,1815,1815,1815,1815,0,36815,001020,"2021-10-12 11:22:00","2022-11-10 04:59:54","2022-11-10 04:59:54"
747449,1,1815,1815,1815,1815,0,36815,001020,"2021-10-12 11:23:00","2022-11-10 04:59:54","2022-11-10 04:59:54"
747448,1,1815,1815,1815,1815,0,36815,001020,"2021-10-12 11:24:00","2022-11-10 04:59:54","2022-11-10 04:59:54"
747447,1,1810,1815,1810,1815,114,36929,001020,"2021-10-12 11:25:00","2022-11-10 04:59:54","2022-11-10 04:59:54"
747446,1,1815,1815,1815,1815,1,36930,001020,"2021-10-12 11:26:00","2022-11-10 04:59:54","2022-11-10 04:59:54"
747445,1,1815,1815,1815,1815,0,36930,001020,"2021-10-12 11:27:00","2022-11-10 04:59:54","2022-11-10 04:59:54"
747444,1,1815,1815,1815,1815,0,36930,001020,"2021-10-12 11:28:00","2022-11-10 04:59:54","2022-11-10 04:59:54"
